symboling,normalized_losses,car_company,aspiration,num_of_doors,body_style,drive_wheels,engine_location,wheel_base,length,width,height,curb_weight,engine_type,num_of_cylinders,engine_size,fuel_system,bore,stroke,compression_ratio,horsepower,peak_rpm,city_mpg,highway_mpg,city_L/100km,horsepower_binned,diesel,gas,price
1,101,honda,std,two,hatchback,fwd,front,93.7,0.720807304,0.888888889,52.6,1940,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7.833333333,Low,0,1,6529
1,101,honda,std,two,hatchback,fwd,front,93.7,0.720807304,0.888888889,52.6,1956,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7.833333333,Low,0,1,7129
0,110,honda,std,four,sedan,fwd,front,96.5,0.785199423,0.888888889,54.5,2010,ohc,four,92,1bbl,2.91,3.41,9.2,76,6000,30,34,7.833333333,Low,0,1,7295
0,78,honda,std,four,wagon,fwd,front,96.5,0.754925517,0.8875,58.3,2024,ohc,four,92,1bbl,2.92,3.41,9.2,76,6000,30,34,7.833333333,Low,0,1,7295
0,106,honda,std,two,hatchback,fwd,front,96.5,0.80490149,0.905555556,53.3,2236,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,8.703703704,Low,0,1,7895
0,106,honda,std,two,hatchback,fwd,front,96.5,0.80490149,0.905555556,53.3,2289,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,8.703703704,Low,0,1,9095
0,85,honda,std,four,sedan,fwd,front,96.5,0.842864008,0.905555556,54.1,2304,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,8.703703704,Low,0,1,8845
0,85,honda,std,four,sedan,fwd,front,96.5,0.842864008,0.868055556,54.1,2372,ohc,four,110,1bbl,3.15,3.58,9,86,5800,27,33,8.703703704,Low,0,1,10295
0,85,honda,std,four,sedan,fwd,front,96.5,0.842864008,0.905555556,54.1,2465,ohc,four,110,mpfi,3.15,3.58,9,101,5800,24,28,9.791666667,Low,0,1,12945
1,107,honda,std,two,sedan,fwd,front,96.5,0.812590101,0.916666667,51,2293,ohc,four,110,2bbl,3.15,3.58,9.1,100,5500,25,31,9.4,Low,0,1,10345
0,122,isuzu,std,four,sedan,rwd,front,94.3,0.820278712,0.858333333,53.5,2337,ohc,four,111,2bbl,3.31,3.23,8.5,78,4800,24,29,9.791666667,Low,0,1,6785
2,122,isuzu,std,two,hatchback,rwd,front,96,0.829408938,0.905555556,51.4,2734,ohc,four,119,spfi,3.43,3.23,9.2,90,5000,24,29,9.791666667,Low,0,1,11048
0,145,jaguar,std,four,sedan,rwd,front,113,0.959154253,0.966666667,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,15.66666667,High,0,1,32250
0,122,jaguar,std,four,sedan,rwd,front,113,0.959154253,0.966666667,52.8,4066,dohc,six,258,mpfi,3.63,4.17,8.1,176,4750,15,19,15.66666667,High,0,1,35550
0,122,jaguar,std,two,sedan,rwd,front,102,0.921191735,0.980555556,47.8,3950,ohcv,twelve,326,mpfi,3.54,2.76,11.5,262,5000,13,17,18.07692308,,0,1,36000
1,104,mazda,std,two,hatchback,fwd,front,93.1,0.764536281,0.891666667,54.1,1890,ohc,four,91,2bbl,3.03,3.15,9,68,5000,30,31,7.833333333,Low,0,1,5195
1,104,mazda,std,two,hatchback,fwd,front,93.1,0.764536281,0.891666667,54.1,1900,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,7.580645161,Low,0,1,6095
1,104,mazda,std,two,hatchback,fwd,front,93.1,0.764536281,0.891666667,54.1,1905,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,7.580645161,Low,0,1,6795
1,113,mazda,std,four,sedan,fwd,front,93.1,0.801537722,0.891666667,54.1,1945,ohc,four,91,2bbl,3.03,3.15,9,68,5000,31,38,7.580645161,Low,0,1,6695
1,113,mazda,std,four,sedan,fwd,front,93.1,0.801537722,0.891666667,54.1,1950,ohc,four,91,2bbl,3.08,3.15,9,68,5000,31,38,7.580645161,Low,0,1,7395
3,150,mazda,std,two,hatchback,rwd,front,95.3,0.812109563,0.9125,49.6,2380,rotor,two,70,4bbl,3.329751244,,9.4,101,6000,17,23,13.82352941,Low,0,1,10945
3,150,mazda,std,two,hatchback,rwd,front,95.3,0.812109563,0.9125,49.6,2380,rotor,two,70,4bbl,3.329751244,,9.4,101,6000,17,23,13.82352941,Low,0,1,11845
3,150,mazda,std,two,hatchback,rwd,front,95.3,0.812109563,0.9125,49.6,2385,rotor,two,70,4bbl,3.329751244,,9.4,101,6000,17,23,13.82352941,Low,0,1,13645
3,150,mazda,std,two,hatchback,rwd,front,95.3,0.812109563,0.9125,49.6,2500,rotor,two,80,mpfi,3.329751244,,9.4,135,6000,16,23,14.6875,Medium,0,1,15645
1,129,mazda,std,two,hatchback,fwd,front,98.8,0.854396925,0.923611111,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,9.038461538,Low,0,1,8845
0,115,mazda,std,four,sedan,fwd,front,98.8,0.854396925,0.923611111,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,9.038461538,Low,0,1,8495
1,129,mazda,std,two,hatchback,fwd,front,98.8,0.854396925,0.923611111,53.7,2385,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,9.038461538,Low,0,1,10595
0,115,mazda,std,four,sedan,fwd,front,98.8,0.854396925,0.923611111,55.5,2410,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,9.038461538,Low,0,1,10245
0,122,mazda,std,four,sedan,fwd,front,98.8,0.854396925,0.923611111,55.5,2443,ohc,four,122,idi,3.39,3.39,22.7,64,4650,36,42,6.527777778,Low,1,0,10795
0,115,mazda,std,four,hatchback,fwd,front,98.8,0.854396925,0.923611111,55.5,2425,ohc,four,122,2bbl,3.39,3.39,8.6,84,4800,26,32,9.038461538,Low,0,1,11245
0,118,mazda,std,four,sedan,rwd,front,104.9,0.840941855,0.918055556,54.4,2670,ohc,four,140,mpfi,3.76,3.16,8,120,5000,19,27,12.36842105,Medium,0,1,18280
0,122,mazda,std,four,sedan,rwd,front,104.9,0.840941855,0.918055556,54.4,2700,ohc,four,134,idi,3.43,3.64,22,72,4200,31,39,7.580645161,Low,1,0,18344
-1,93,mercedes-benz,turbo,four,sedan,rwd,front,110,0.917347429,0.976388889,56.5,3515,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,10.68181818,Medium,1,0,25552
-1,93,mercedes-benz,turbo,four,wagon,rwd,front,110,0.917347429,0.976388889,58.7,3750,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,10.68181818,Medium,1,0,28248
0,93,mercedes-benz,turbo,two,hardtop,rwd,front,106.7,0.90100913,0.976388889,54.9,3495,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,10.68181818,Medium,1,0,28176
-1,93,mercedes-benz,turbo,four,sedan,rwd,front,115.6,0.973570399,0.995833333,56.3,3770,ohc,five,183,idi,3.58,3.64,21.5,123,4350,22,25,10.68181818,Medium,1,0,31600
-1,122,mercedes-benz,std,four,sedan,rwd,front,115.6,0.973570399,0.995833333,56.5,3740,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,14.6875,Medium,0,1,34184
3,142,mercedes-benz,std,two,convertible,rwd,front,96.6,0.86641038,0.979166667,50.8,3685,ohcv,eight,234,mpfi,3.46,3.1,8.3,155,4750,16,18,14.6875,Medium,0,1,35056
0,122,mercedes-benz,std,four,sedan,rwd,front,120.9,1,0.995833333,56.7,3900,ohcv,eight,308,mpfi,3.8,3.35,8,184,4500,14,16,16.78571429,High,0,1,40960
1,122,mercedes-benz,std,two,hardtop,rwd,front,112,0.9572321,1,55.4,3715,ohcv,eight,304,mpfi,3.8,3.35,8,184,4500,14,16,16.78571429,High,0,1,45400
1,122,mercury,turbo,two,hatchback,rwd,front,102.7,0.857280154,0.944444444,54.8,2910,ohc,four,140,mpfi,3.78,3.12,8,175,5000,19,24,12.36842105,High,0,1,16503
2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,0.755886593,0.894444444,50.8,1918,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,37,41,6.351351351,Low,0,1,5389
2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,0.755886593,0.894444444,50.8,1944,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,7.580645161,Low,0,1,6189
2,161,mitsubishi,std,two,hatchback,fwd,front,93.7,0.755886593,0.894444444,50.8,2004,ohc,four,92,2bbl,2.97,3.23,9.4,68,5500,31,38,7.580645161,Low,0,1,6669
1,161,mitsubishi,turbo,two,hatchback,fwd,front,93,0.755886593,0.886111111,50.8,2145,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,9.791666667,Medium,0,1,7689
3,153,mitsubishi,turbo,two,hatchback,fwd,front,96.3,0.831331091,0.908333333,49.4,2370,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,10.2173913,Medium,0,1,9959
3,153,mitsubishi,std,two,hatchback,fwd,front,96.3,0.831331091,0.908333333,49.4,2328,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,9.4,Low,0,1,8499
3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.832292167,0.920833333,50.2,2833,ohc,four,156,spdi,3.58,3.86,7,145,5000,19,24,12.36842105,Medium,0,1,12629
3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.832292167,0.920833333,50.2,2921,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,12.36842105,Medium,0,1,14869
3,122,mitsubishi,turbo,two,hatchback,fwd,front,95.9,0.832292167,0.920833333,50.2,2926,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,12.36842105,Medium,0,1,14489
1,125,mitsubishi,std,four,sedan,fwd,front,96.3,0.828447862,0.908333333,51.6,2365,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,9.4,Low,0,1,6989
1,125,mitsubishi,std,four,sedan,fwd,front,96.3,0.828447862,0.908333333,51.6,2405,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,25,32,9.4,Low,0,1,8189
1,125,mitsubishi,turbo,four,sedan,fwd,front,96.3,0.828447862,0.908333333,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,10.2173913,Medium,0,1,9279
-1,137,mitsubishi,std,four,sedan,fwd,front,96.3,0.828447862,0.908333333,51.6,2403,ohc,four,110,spdi,3.17,3.46,7.5,116,5500,23,30,10.2173913,Medium,0,1,9279
1,128,nissan,std,two,sedan,fwd,front,94.5,0.794329649,0.886111111,54.5,1889,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7.580645161,Low,0,1,5499
1,128,nissan,std,two,sedan,fwd,front,94.5,0.794329649,0.886111111,54.5,2017,ohc,four,103,idi,2.99,3.47,21.9,55,4800,45,50,5.222222222,Low,1,0,7099
1,128,nissan,std,two,sedan,fwd,front,94.5,0.794329649,0.886111111,54.5,1918,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7.580645161,Low,0,1,6649
1,122,nissan,std,four,sedan,fwd,front,94.5,0.794329649,0.886111111,54.5,1938,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7.580645161,Low,0,1,6849
1,103,nissan,std,four,wagon,fwd,front,94.5,0.817876021,0.886111111,53.5,2024,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7.580645161,Low,0,1,7349
1,128,nissan,std,two,sedan,fwd,front,94.5,0.794329649,0.886111111,54.5,1951,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7.580645161,Low,0,1,7299
1,128,nissan,std,two,hatchback,fwd,front,94.5,0.795771264,0.886111111,53.3,2028,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7.580645161,Low,0,1,7799
1,122,nissan,std,four,sedan,fwd,front,94.5,0.794329649,0.886111111,54.5,1971,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7.580645161,Low,0,1,7499
1,103,nissan,std,four,wagon,fwd,front,94.5,0.817876021,0.886111111,53.5,2037,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7.580645161,Low,0,1,7999
2,168,nissan,std,two,hardtop,fwd,front,95.1,0.780394041,0.886111111,53.3,2008,ohc,four,97,2bbl,3.15,3.29,9.4,69,5200,31,37,7.580645161,Low,0,1,8249
0,106,nissan,std,four,hatchback,fwd,front,97.2,0.833253244,0.905555556,54.7,2324,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8.703703704,Low,0,1,8949
0,106,nissan,std,four,sedan,fwd,front,97.2,0.833253244,0.905555556,54.7,2302,ohc,four,120,2bbl,3.33,3.47,8.5,97,5200,27,34,8.703703704,Low,0,1,9549
0,128,nissan,std,four,sedan,fwd,front,100.4,0.873137914,0.923611111,55.1,3095,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,13.82352941,Medium,0,1,13499
0,108,nissan,std,four,wagon,fwd,front,100.4,0.887073522,0.923611111,56.1,3296,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,17,22,13.82352941,Medium,0,1,14399
0,108,nissan,std,four,sedan,fwd,front,100.4,0.887073522,0.923611111,55.1,3060,ohcv,six,181,mpfi,3.43,3.27,9,152,5200,19,25,12.36842105,Medium,0,1,13499
3,194,nissan,std,two,hatchback,rwd,front,91.3,0.820278712,0.943055556,49.7,3071,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,25,12.36842105,High,0,1,17199
3,194,nissan,turbo,two,hatchback,rwd,front,91.3,0.820278712,0.943055556,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,7.8,200,5200,17,23,13.82352941,High,0,1,19699
1,231,nissan,std,two,hatchback,rwd,front,99.2,0.857760692,0.943055556,49.7,3139,ohcv,six,181,mpfi,3.43,3.27,9,160,5200,19,25,12.36842105,High,0,1,18399
0,161,peugot,std,four,sedan,rwd,front,107.9,0.897164825,0.95,56.7,3020,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12.36842105,Low,0,1,11900
0,161,peugot,turbo,four,sedan,rwd,front,107.9,0.897164825,0.95,56.7,3197,l,four,152,idi,3.7,3.52,21,95,4150,28,33,8.392857143,Low,1,0,13200
0,122,peugot,std,four,wagon,rwd,front,114.2,0.955790485,0.95,58.7,3230,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12.36842105,Low,0,1,12440
0,122,peugot,turbo,four,wagon,rwd,front,114.2,0.955790485,0.95,58.7,3430,l,four,152,idi,3.7,3.52,21,95,4150,25,25,9.4,Low,1,0,13860
0,161,peugot,std,four,sedan,rwd,front,107.9,0.897164825,0.95,56.7,3075,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,12.36842105,Low,0,1,15580
0,161,peugot,turbo,four,sedan,rwd,front,107.9,0.897164825,0.95,56.7,3252,l,four,152,idi,3.7,3.52,21,95,4150,28,33,8.392857143,Low,1,0,16900
0,122,peugot,std,four,wagon,rwd,front,114.2,0.955790485,0.95,56.7,3285,l,four,120,mpfi,3.46,2.19,8.4,95,5000,19,24,12.36842105,Low,0,1,16695
0,122,peugot,turbo,four,wagon,rwd,front,114.2,0.955790485,0.95,58.7,3485,l,four,152,idi,3.7,3.52,21,95,4150,25,25,9.4,Low,1,0,17075
0,161,peugot,std,four,sedan,rwd,front,107.9,0.897164825,0.95,56.7,3075,l,four,120,mpfi,3.46,3.19,8.4,97,5000,19,24,12.36842105,Low,0,1,16630
0,161,peugot,turbo,four,sedan,rwd,front,107.9,0.897164825,0.95,56.7,3252,l,four,152,idi,3.7,3.52,21,95,4150,28,33,8.392857143,Low,1,0,17950
0,161,peugot,turbo,four,sedan,rwd,front,108,0.897164825,0.948611111,56,3130,l,four,134,mpfi,3.61,3.21,7,142,5600,18,24,13.05555556,Medium,0,1,18150
1,119,plymouth,std,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,50.8,1918,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,37,41,6.351351351,Low,0,1,5572
1,119,plymouth,turbo,two,hatchback,fwd,front,93.7,0.755886593,0.886111111,50.8,2128,ohc,four,98,spdi,3.03,3.39,7.6,102,5500,24,30,9.791666667,Medium,0,1,7957
1,154,plymouth,std,four,hatchback,fwd,front,93.7,0.755886593,0.886111111,50.6,1967,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7.580645161,Low,0,1,6229
1,154,plymouth,std,four,sedan,fwd,front,93.7,0.803940413,0.886111111,50.8,1989,ohc,four,90,2bbl,2.97,3.23,9.4,68,5500,31,38,7.580645161,Low,0,1,6692
1,154,plymouth,std,four,sedan,fwd,front,93.7,0.803940413,0.886111111,50.8,2191,ohc,four,98,2bbl,2.97,3.23,9.4,68,5500,31,38,7.580645161,Low,0,1,7609
-1,74,plymouth,std,four,wagon,fwd,front,103.3,0.839019702,0.897222222,59.8,2535,ohc,four,122,2bbl,3.35,3.46,8.5,88,5000,24,30,9.791666667,Low,0,1,8921
3,122,plymouth,turbo,two,hatchback,rwd,front,95.9,0.832292167,0.920833333,50.2,2818,ohc,four,156,spdi,3.59,3.86,7,145,5000,19,24,12.36842105,Medium,0,1,12764
3,186,porsche,std,two,hatchback,rwd,front,94.5,0.811629025,0.948611111,50.2,2778,ohc,four,151,mpfi,3.94,3.11,9.5,143,5500,19,27,12.36842105,Medium,0,1,22018
3,122,porsche,std,two,hardtop,rwd,rear,89.5,0.811629025,0.902777778,51.6,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,13.82352941,High,0,1,32528
3,122,porsche,std,two,hardtop,rwd,rear,89.5,0.811629025,0.902777778,51.6,2756,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,13.82352941,High,0,1,34028
3,122,porsche,std,two,convertible,rwd,rear,89.5,0.811629025,0.902777778,51.6,2800,ohcf,six,194,mpfi,3.74,2.9,9.5,207,5900,17,25,13.82352941,High,0,1,37028
0,122,renault,std,four,wagon,fwd,front,96.1,0.872176838,0.923611111,55.2,2579,ohc,four,132,mpfi,3.46,3.9,8.7,104.2561576,5125.369458,23,31,10.2173913,Medium,0,1,9295
2,122,renault,std,two,hatchback,fwd,front,96.1,0.849591543,0.925,50.5,2460,ohc,four,132,mpfi,3.46,3.9,8.7,104.2561576,5125.369458,23,31,10.2173913,Medium,0,1,9895
3,150,saab,std,two,hatchback,fwd,front,99.1,0.896684286,0.923611111,56.1,2658,ohc,four,121,mpfi,3.54,3.07,9.31,110,5250,21,28,11.19047619,Medium,0,1,11850
2,104,saab,std,four,sedan,fwd,front,99.1,0.896684286,0.923611111,56.1,2695,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,11.19047619,Medium,0,1,12170
3,150,saab,std,two,hatchback,fwd,front,99.1,0.896684286,0.923611111,56.1,2707,ohc,four,121,mpfi,2.54,2.07,9.3,110,5250,21,28,11.19047619,Medium,0,1,15040
2,104,saab,std,four,sedan,fwd,front,99.1,0.896684286,0.923611111,56.1,2758,ohc,four,121,mpfi,3.54,3.07,9.3,110,5250,21,28,11.19047619,Medium,0,1,15510
3,150,saab,turbo,two,hatchback,fwd,front,99.1,0.896684286,0.923611111,56.1,2808,dohc,four,121,mpfi,3.54,3.07,9,160,5500,19,26,12.36842105,High,0,1,18150
2,104,saab,turbo,four,sedan,fwd,front,99.1,0.896684286,0.923611111,56.1,2847,dohc,four,121,mpfi,3.54,3.07,9,160,5500,19,26,12.36842105,High,0,1,18620
2,83,subaru,std,two,hatchback,fwd,front,93.7,0.75396444,0.880555556,53.7,2050,ohcf,four,97,2bbl,3.62,2.36,9,69,4900,31,36,7.580645161,Low,0,1,5118
2,83,subaru,std,two,hatchback,fwd,front,93.7,0.758769822,0.883333333,53.7,2120,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,9.038461538,Low,0,1,7053
2,83,subaru,std,two,hatchback,4wd,front,93.3,0.755886593,0.886111111,55.7,2240,ohcf,four,108,2bbl,3.62,2.64,8.7,73,4400,26,31,9.038461538,Low,0,1,7603
0,102,subaru,std,four,sedan,fwd,front,97.2,0.826525709,0.908333333,52.5,2145,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4800,32,37,7.34375,Low,0,1,7126
0,102,subaru,std,four,sedan,fwd,front,97.2,0.826525709,0.908333333,52.5,2190,ohcf,four,108,2bbl,3.62,2.64,9.5,82,4400,28,33,8.392857143,Low,0,1,7775
0,102,subaru,std,four,sedan,fwd,front,97.2,0.826525709,0.908333333,52.5,2340,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,26,32,9.038461538,Low,0,1,9960
0,102,subaru,std,four,sedan,4wd,front,97,0.826525709,0.908333333,54.3,2385,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,24,25,9.791666667,Low,0,1,9233
0,102,subaru,turbo,four,sedan,4wd,front,97,0.826525709,0.908333333,54.3,2510,ohcf,four,108,mpfi,3.62,2.64,7.7,111,4800,24,29,9.791666667,Medium,0,1,11259
0,89,subaru,std,four,wagon,fwd,front,97,0.833733782,0.908333333,53,2290,ohcf,four,108,2bbl,3.62,2.64,9,82,4800,28,32,8.392857143,Low,0,1,7463
0,89,subaru,std,four,wagon,fwd,front,97,0.833733782,0.908333333,53,2455,ohcf,four,108,mpfi,3.62,2.64,9,94,5200,25,31,9.4,Low,0,1,10198
